1.6 MP Color CMOS Camera
,Quantum Efficiency (%)
Wavelength (nm),Blue,Green,Red
400,29.08381,5.5152900000000002,6.858
405,33.023850000000003,5.0523199999999999,6.012
410,36.239820000000002,4.56168,5.209
415,39.10839,4.11991,4.553
420,41.535899999999998,3.7496499999999999,4.062
425,43.814529999999998,3.51247,3.678
430,46.139650000000003,3.4571000000000001,3.348
435,48.546430000000001,3.5894300000000001,3.047
440,50.456009999999999,3.7644500000000001,2.685
445,52.091279999999998,3.9615900000000002,2.307
450,53.262920000000001,4.2772199999999998,1.968
455,53.84628,5.1128999999999998,1.718
460,53.948770000000003,7.0713900000000001,1.587
465,53.468420000000002,11.087619999999999,1.630
470,52.052309999999999,17.550689999999999,1.716
475,49.947029999999998,25.955359999999999,1.783
480,47.21425,35.15972,1.842
485,43.765219999999999,43.865090000000002,1.888
490,39.972050000000003,51.084919999999997,1.973
495,36.078290000000003,56.31315,2.153
500,31.880559999999999,59.51587,2.376
505,27.591699999999999,61.345350000000003,2.695
510,23.408329999999999,62.800170000000001,3.222
515,19.57029,63.886850000000003,3.838
520,16.26915,64.410610000000005,4.349
525,13.58689,64.774529999999999,4.686
530,11.5122,65.114949999999993,4.728
535,9.8859399999999997,65.032480000000007,4.402
540,8.4747500000000002,64.38203,3.828
545,7.1609800000000003,63.53154,3.275
550,5.9333600000000004,62.586060000000003,2.912
555,4.8221699999999998,61.358800000000002,2.817
560,3.8725900000000002,59.756839999999997,3.111
565,3.1591499999999999,58.119079999999997,4.631
570,2.6854300000000002,56.365929999999999,9.578
575,2.3833600000000001,54.18459,18.494
580,2.1640600000000001,51.501359999999998,29.492
585,1.9757100000000001,48.311309999999999,41.071
590,1.8000400000000001,44.461910000000003,51.678
595,1.6407499999999999,40.041249999999998,58.897
600,1.5068900000000001,35.268560000000001,62.016
605,1.4068700000000001,30.414719999999999,62.668
610,1.34935,25.850460000000002,62.087
615,1.3423400000000001,21.899290000000001,61.127
620,1.3950899999999999,18.710750000000001,60.338
625,1.5118199999999999,16.258130000000001,59.643
630,1.7027699999999999,14.43488,59.018
635,1.9687600000000001,13.091469999999999,58.484
640,2.2964000000000002,12.054690000000001,57.935
645,2.6611600000000002,11.18206,57.051
650,3.05803,10.517620000000001,56.063
655,3.4767199999999998,10.164479999999999,55.149
660,3.8661099999999999,10.160629999999999,54.015
665,4.1821599999999997,10.50291,52.433
670,4.3941800000000004,11.13719,50.343
675,4.5149699999999999,12.051830000000001,48.110
680,4.5625400000000003,13.158189999999999,45.953
685,4.5937000000000001,14.4282,44.292
690,4.6363500000000002,15.82906,43.279
695,4.67117,17.24905,42.912
700,4.6291900000000004,18.44941,42.807
705,4.4898499999999997,19.34806,42.923
710,4.2395699999999996,19.847619999999999,43.125
715,3.9051100000000001,19.952660000000002,43.360
720,3.54609,19.762350000000001,43.468
725,3.22878,19.4665,43.347
730,2.9633099999999999,19.109369999999998,42.654
735,2.7684700000000002,18.885680000000001,41.558
740,2.6368399999999999,18.8688,40.217
745,2.5684300000000002,19.097190000000001,38.938
750,2.5833699999999999,19.63862,38.073
755,2.71692,20.399329999999999,37.659979999999997
760,3.0119199999999999,21.196670000000001,37.453659999999999
765,3.5127199999999998,21.843540000000001,37.098649999999999
770,4.3285900000000002,22.327269999999999,36.475239999999999
775,5.5787500000000003,22.477070000000001,35.274769999999997
780,7.3834799999999996,22.401869999999999,33.759909999999998
785,9.8304899999999993,22.291149999999998,32.256349999999998
790,12.827819999999999,22.253399999999999,30.921659999999999
795,15.961959999999999,22.22878,29.70204
800,18.743849999999998,22.271820000000002,28.71996
805,20.860530000000001,22.382950000000001,27.94295
810,22.143149999999999,22.42454,27.18778
815,22.605329999999999,22.304110000000001,26.379239999999999
820,22.525040000000001,21.966950000000001,25.438970000000001
825,22.311769999999999,21.449210000000001,24.40334
830,22.057980000000001,20.699999999999999,23.259239999999998
835,21.81109,19.866610000000001,22.166139999999999
840,21.56541,19.115469999999998,21.261700000000001
845,21.334849999999999,18.568950000000001,20.619299999999999
850,21.010020000000001,18.164960000000001,20.118179999999999
855,20.558240000000001,17.855229999999999,19.63524
860,19.905360000000002,17.46791,18.983070000000001
865,19.09517,16.946960000000001,18.18601
870,18.14517,16.28314,17.29815
875,17.10529,15.537140000000001,16.38571
880,16.105239999999998,14.802300000000001,15.54823
885,15.22053,14.11117,14.81738
890,14.447609999999999,13.46475,14.16173
895,13.77718,12.85455,13.54927
900,13.19997,12.25929,12.953620000000001
905,12.66065,11.64678,12.34249
910,12.136380000000001,11.03504,11.723050000000001
915,11.568809999999999,10.396050000000001,11.04913
920,10.91338,9.7124199999999998,10.311360000000001
925,10.182370000000001,9.0017700000000005,9.5441900000000004
930,9.4238,8.3152200000000001,8.8036999999999992
935,8.6444799999999997,7.6657599999999997,8.10581
940,7.9280099999999996,7.1063499999999999,7.5092600000000003
945,7.3320100000000004,6.6587199999999998,7.0305200000000001
950,6.8438299999999996,6.2924100000000003,6.6267500000000004
955,6.4307299999999996,5.9673499999999997,6.2613200000000004
960,6.07796,5.6644500000000004,5.9183599999999998
965,5.7413100000000004,5.3525600000000004,5.5709900000000001
970,5.3837799999999998,5.0052500000000002,5.1978099999999996
975,4.99336,4.6242400000000004,4.8009700000000004
980,4.5794600000000001,4.2304899999999996,4.3995300000000004
985,4.1632699999999998,3.8478599999999998,4.0169699999999997
990,3.7730700000000001,3.4982099999999998,3.6705000000000001
995,3.3844699999999999,3.1564899999999998,3.3300700000000001
1000,3.0909900000000001,2.9084500000000002,3.0881699999999999
,,,
